epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2969,1.11606,2.13625,1.12946,0.93534,0.33998,0.62808,0.45154,1.04885,2.57199,1.07326,0.000407407,0.000407407,0.000407407
2,67.1156,1.05733,1.17457,1.10775,0.84636,0.51498,0.65549,0.47426,1.09082,2.07401,1.12386,0.00079688,0.00079688,0.00079688
3,99.1846,1.01176,1.0765,1.08096,0.78326,0.6672,0.78297,0.55011,1.06698,1.4248,1.11854,0.00115885,0.00115885,0.00115885
4,131.355,1.0227,1.01695,1.08506,0.82632,0.7719,0.85304,0.63853,0.9214,1.04011,1.03489,0.00112625,0.00112625,0.00112625
5,163.149,0.96594,0.97684,1.06128,0.83273,0.78739,0.86999,0.66577,0.89354,0.92653,1.0189,0.001085,0.001085,0.001085
6,195.851,0.95558,0.92739,1.05335,0.85999,0.79915,0.88661,0.68192,0.84528,0.90074,1.00658,0.00104375,0.00104375,0.00104375
7,228.854,0.92759,0.88743,1.0406,0.88046,0.80021,0.89832,0.69741,0.82709,0.81837,0.9929,0.0010025,0.0010025,0.0010025
8,261.387,0.89004,0.84532,1.0307,0.86732,0.81711,0.9012,0.70666,0.8043,0.79413,0.99265,0.00096125,0.00096125,0.00096125
9,293.984,0.89641,0.83215,1.02356,0.84709,0.82158,0.89886,0.70413,0.81623,0.85309,1.00054,0.00092,0.00092,0.00092
10,326.228,0.87409,0.82644,1.01798,0.86075,0.82639,0.89756,0.70304,0.79715,0.75958,0.97966,0.00087875,0.00087875,0.00087875
11,358.504,0.86464,0.80586,1.01603,0.86978,0.79647,0.88897,0.70764,0.78627,0.77728,0.97536,0.0008375,0.0008375,0.0008375
12,390.435,0.84923,0.77859,1.01339,0.87624,0.81697,0.90222,0.72407,0.76644,0.71533,0.96598,0.00079625,0.00079625,0.00079625
13,421.92,0.83737,0.75694,1.00973,0.87887,0.81784,0.90697,0.72522,0.7753,0.73153,0.96684,0.000755,0.000755,0.000755
14,455.03,0.81372,0.7396,0.9921,0.85411,0.84135,0.90138,0.72463,0.76571,0.71995,0.97252,0.00071375,0.00071375,0.00071375
15,487.949,0.81192,0.7398,0.9919,0.8742,0.83547,0.90829,0.72713,0.76451,0.7376,0.97373,0.0006725,0.0006725,0.0006725
16,521.25,0.80101,0.71516,0.98542,0.89129,0.81466,0.90782,0.73087,0.74079,0.68505,0.95309,0.00063125,0.00063125,0.00063125
17,554.127,0.79142,0.70488,0.9863,0.88103,0.82692,0.91147,0.73964,0.74486,0.68051,0.96903,0.00059,0.00059,0.00059
18,586.249,0.78143,0.68166,0.97723,0.87181,0.82692,0.90717,0.73964,0.7266,0.65399,0.95441,0.00054875,0.00054875,0.00054875
19,617.529,0.75747,0.67169,0.97001,0.86779,0.85203,0.91392,0.7496,0.70855,0.65321,0.9457,0.0005075,0.0005075,0.0005075
20,649.905,0.74446,0.65483,0.96494,0.88237,0.8455,0.91847,0.75589,0.70316,0.62942,0.94651,0.00046625,0.00046625,0.00046625
21,680.388,0.73097,0.70532,0.9542,0.88097,0.82239,0.91059,0.74404,0.72349,0.65617,0.96452,0.000425,0.000425,0.000425
22,710.343,0.70849,0.64395,0.94034,0.8642,0.84649,0.91313,0.74842,0.71156,0.62624,0.9548,0.00038375,0.00038375,0.00038375
23,740.328,0.69187,0.62348,0.93275,0.87735,0.84829,0.92103,0.75071,0.71539,0.61847,0.94934,0.0003425,0.0003425,0.0003425
24,770.234,0.67808,0.60564,0.92373,0.8762,0.86432,0.92405,0.75763,0.68595,0.60511,0.9334,0.00030125,0.00030125,0.00030125
25,799.879,0.6638,0.58782,0.92289,0.88219,0.852,0.92435,0.76056,0.6867,0.59868,0.9381,0.00026,0.00026,0.00026
26,829.53,0.64986,0.58206,0.92174,0.87621,0.85363,0.92564,0.76733,0.68033,0.59454,0.94049,0.00021875,0.00021875,0.00021875
27,859.078,0.64032,0.57475,0.91042,0.88993,0.84222,0.9228,0.76912,0.67007,0.60484,0.93743,0.0001775,0.0001775,0.0001775
28,888.734,0.63228,0.56377,0.90643,0.90713,0.83487,0.92568,0.76836,0.66933,0.59275,0.93638,0.00013625,0.00013625,0.00013625
29,918.889,0.63201,0.55983,0.91561,0.88473,0.85256,0.92659,0.7742,0.65887,0.5807,0.92984,9.5e-05,9.5e-05,9.5e-05
30,948.89,0.61288,0.54385,0.90492,0.88822,0.8515,0.92702,0.77444,0.66023,0.57769,0.93452,5.375e-05,5.375e-05,5.375e-05
